List Name,Criterion Type,Keyword Text,Match Type
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"casa",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"casas",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"hogar",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"hogares",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"domicilio",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"domiciliario",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"residencial",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"departamento",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"depto",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"ph",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"electricista",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"electricistas",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"electricista matriculado",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"electricista de urgencia",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"electricista a domicilio",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"cableado casa",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"enchufe",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"toma corriente",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"disyuntor casa",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"termotanque",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"calefon",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"estufa electrica",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"aire acondicionado instalacion",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"heladera",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"ventilador",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"cortocircuito casa",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"luz cortada",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"sin luz",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"corte de luz",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"edenor",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"edesur",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"monofasico",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"220v",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"baja tension",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"tarifa t1",Broad
