timestamp,id_sensor,potencia_kw,tension_v,corriente_a,factor_potencia,temperatura_c,estado_vfd
2026-06-01 00:00:00,vfd-01,11.0,397.5,17.6,0.91,61.0,1
2026-06-01 00:00:00,vfd-02,8.99,393.5,14.3,0.92,54.0,1
2026-06-01 00:00:00,vfd-03,10.76,398.3,17.0,0.92,67.4,1
2026-06-01 01:00:00,vfd-01,13.18,398.3,21.2,0.9,58.8,1
2026-06-01 01:00:00,vfd-02,9.22,401.9,14.6,0.91,54.3,1
2026-06-01 01:00:00,vfd-03,12.97,393.6,20.9,0.91,66.7,1
2026-06-01 02:00:00,vfd-01,14.37,397.3,22.7,0.92,60.9,1
2026-06-01 02:00:00,vfd-02,9.63,394.7,15.3,0.92,52.3,1
2026-06-01 02:00:00,vfd-03,6.89,396.2,11.3,0.89,66.3,1
2026-06-01 03:00:00,vfd-01,15.04,394.3,23.7,0.93,59.2,1
2026-06-01 03:00:00,vfd-02,8.51,397.1,13.5,0.92,55.5,1
2026-06-01 03:00:00,vfd-03,15.41,399.0,24.0,0.93,67.0,1
2026-06-01 04:00:00,vfd-01,14.4,395.8,23.1,0.91,61.3,1
2026-06-01 04:00:00,vfd-02,8.7,405.0,13.8,0.9,52.7,1
2026-06-01 04:00:00,vfd-03,18.01,402.3,28.1,0.92,68.0,1
2026-06-01 05:00:00,vfd-01,20.95,397.7,34.2,0.89,61.0,1
2026-06-01 05:00:00,vfd-02,11.4,393.7,18.2,0.92,55.4,1
2026-06-01 05:00:00,vfd-03,19.56,400.2,30.3,0.93,70.4,1
2026-06-01 06:00:00,vfd-01,23.92,396.2,38.3,0.91,61.0,1
2026-06-01 06:00:00,vfd-02,13.84,396.3,21.9,0.92,56.8,1
2026-06-01 06:00:00,vfd-03,24.68,397.1,40.3,0.89,66.1,1
2026-06-01 07:00:00,vfd-01,27.48,399.2,41.8,0.95,62.9,1
2026-06-01 07:00:00,vfd-02,16.47,398.5,25.1,0.95,57.7,1
2026-06-01 07:00:00,vfd-03,34.54,395.0,53.1,0.95,69.8,1
2026-06-01 08:00:00,vfd-01,36.27,397.9,54.3,0.97,64.0,1
2026-06-01 08:00:00,vfd-02,21.63,398.3,34.1,0.92,56.1,1
2026-06-01 08:00:00,vfd-03,41.17,402.3,62.2,0.95,71.2,1
2026-06-01 09:00:00,vfd-01,33.12,400.1,50.3,0.95,63.1,1
2026-06-01 09:00:00,vfd-02,21.24,398.0,31.8,0.97,56.1,1
2026-06-01 09:00:00,vfd-03,45.41,402.1,70.1,0.93,70.3,1
2026-06-01 10:00:00,vfd-01,37.11,394.3,57.8,0.94,62.8,1
2026-06-01 10:00:00,vfd-02,23.02,398.0,34.4,0.97,58.6,1
2026-06-01 10:00:00,vfd-03,49.54,394.1,77.2,0.94,71.9,1
2026-06-01 11:00:00,vfd-01,36.0,393.0,55.1,0.96,65.3,1
2026-06-01 11:00:00,vfd-02,21.51,400.1,33.0,0.94,57.0,1
2026-06-01 11:00:00,vfd-03,39.43,398.6,61.4,0.93,72.9,1
2026-06-01 12:00:00,vfd-01,25.95,399.0,41.7,0.9,62.1,1
2026-06-01 12:00:00,vfd-02,16.71,400.5,25.1,0.96,56.4,1
2026-06-01 12:00:00,vfd-03,33.13,399.4,51.0,0.94,69.7,1
2026-06-01 13:00:00,vfd-01,20.82,401.4,32.2,0.93,62.8,1
2026-06-01 13:00:00,vfd-02,15.32,399.8,23.8,0.93,59.3,1
2026-06-01 13:00:00,vfd-03,30.37,397.1,47.5,0.93,70.8,1
2026-06-01 14:00:00,vfd-01,20.02,399.6,30.4,0.95,60.8,1
